arbitro_id,nome
1,Alex Gomes
2,Anderson Daronco
3,André Luiz
4,Braulio da Silva Machado
5,Bruno Arleu de Araujo
6,Bruno Mota Correia
7,Bruno Pereira Vasconcelos
8,Flavio Rodrigues De Souza
9,Jonathan Benkenstein Pinheiro
10,João Gobi
11,Lucas Torezin
12,Luiz Flávio
13,Maguielson Lima Barbosa
14,Marcelo de Lima Henrique
15,Matheus Delgado Candançan
16,Paulo Belence Alves dos Prazeres Filho
17,Paulo Cesar Zanovelli da Silva
18,Rodrigo José Pereira de Lima
19,Wilton Pereira Sampaio
20,Yuri Elino Ferreira da Cruz
