estadio_id,nome,cidade,capacidade,superficie,endereco,imagem_url
216,Arena Fonte Nova,"Salvador, Bahia",56500,grass,"Rua Lions Club, Nazaré",https://media.api-sports.io/football/venues/216.png
244,Estádio José Pinheiro Borda,"Porto Alegre, Rio Grande do Sul",50128,grass,"Avenida Padre Cacique 891, Bairro Menino Deus",https://media.api-sports.io/football/venues/244.png
218,Estádio Nilton Santos,Rio de Janeiro,46931,grass,"Rua Arquias Cordeiro, Engenho de Dentro",https://media.api-sports.io/football/venues/218.png
258,Allianz Parque,"São Paulo, São Paulo",43713,grass,"Rua Turiaçu 1840, Perdizes",https://media.api-sports.io/football/venues/258.png
204,Estadio Jornalista Mário Filho (Maracanã),"Rio de Janeiro, Rio de Janeiro",78838,grass,"Rua Professor Eurico Rabelo, Maracanã",https://media.api-sports.io/football/venues/204.png
269,Estádio Cícero Pompeu de Toledo (Morumbi),"São Paulo, São Paulo",66795,grass,"Praca Roberto Gomes Pedrosa 1, Morumbi",https://media.api-sports.io/football/venues/269.png
241,Arena do Grêmio,"Porto Alegre, Rio Grande do Sul",60540,grass,Bairro Humaitá,https://media.api-sports.io/football/venues/241.png
11531,Neo Química Arena,"São Paulo, São Paulo",49205,grass,"Avenida Miguel Inácio Curi, 111, Vila Carmosina, Itaquera",https://media.api-sports.io/football/venues/11531.png
19377,Estádio São Januário,"Rio de Janeiro, Rio de Janeiro",24584,grass,"Rua Gal Almério de Moura 131, Bairro Vasco da Gama",https://media.api-sports.io/football/venues/19377.png
10493,Arena da Baixada,"Curitiba, Paraná",43981,grass,"Rua Buenos Aires 1260, Água Verde",https://media.api-sports.io/football/venues/10493.png
234,Estádio Governador Magalhães Pinto,"Belo Horizonte, Minas Gerais",62170,grass,"Avenida Antonio Abrahão Carã 1001, Pampulhas",https://media.api-sports.io/football/venues/234.png
281,Estádio Manoel Barradas,"Salvador, Bahia",35980,grass,"Rua Artêmio Castro Valente 1, Bairro Nossa Senhora da Vitória",https://media.api-sports.io/football/venues/281.png
233,Estádio Heriberto Hülse,"Criciúma, Santa Catarina",19300,grass,"Rua Treze de Maio, Bairro Comerciário",https://media.api-sports.io/football/venues/233.png
211,Estádio Antônio Accioly,"Goiânia, Goiás",12500,grass,"Avenida Perimetral 923 / Avenida 24 de Outubro, Bairro Campinas",https://media.api-sports.io/football/venues/211.png
248,Estádio Alfredo Jaconi,"Caxias do Sul, Rio Grande do Sul",19924,grass,Rua Hércules Galló 1547,https://media.api-sports.io/football/venues/248.png
225,Estádio Governador Plácido Aderaldo Castelo,"Fortaleza, Ceará",63903,grass,"Avenida Alberto Craveiro, Passaré",https://media.api-sports.io/football/venues/225.png
220,Estádio Nabi Abi Chedid,"Bragança Paulista, São Paulo",17128,grass,Rua Emílio Coleta,https://media.api-sports.io/football/venues/220.png
21427,Arena MRV,"Belo Horizonte, Minas Gerais",47465,grass,Av. Pres. Juscelino Kubitschek - Califórnia,https://media.api-sports.io/football/venues/21427.png
235,Arena Pantanal,"Cuiabá, Mato Grosso",44003,grass,,https://media.api-sports.io/football/venues/235.png
