partida_id,data_id,liga_id,temporada_id,rodada_id,time_casa_id,time_visitante_id,estadio_id,arbitro_id,status,status_codigo,minuto_elapsed
1180355,20240413,71,2024,1,119,118,244.0,18,Match Finished,FT,90
1180364,20240413,71,2024,1,140,152,233.0,7,Match Finished,FT,90
1180358,20240414,71,2024,1,124,794,,13,Match Finished,FT,90
1180361,20240414,71,2024,1,126,154,20813.0,1,Match Finished,FT,90
1180360,20240414,71,2024,1,131,1062,11531.0,20,Match Finished,FT,90
1180359,20240414,71,2024,1,133,130,19377.0,8,Match Finished,FT,90
1180362,20240414,71,2024,1,134,1193,,9,Match Finished,FT,90
1180363,20240414,71,2024,1,144,127,,3,Match Finished,FT,90
1180356,20240414,71,2024,1,135,120,234.0,15,Match Finished,FT,90
1180357,20240414,71,2024,1,136,121,281.0,4,Match Finished,FT,90
1180367,20240417,71,2024,2,118,124,216.0,10,Match Finished,FT,90
1180365,20240417,71,2024,2,130,134,241.0,14,Match Finished,FT,90
1180371,20240417,71,2024,2,794,133,220.0,17,Match Finished,FT,90
1180370,20240417,71,2024,2,121,119,255.0,11,Match Finished,FT,90
1180374,20240417,71,2024,2,152,131,248.0,5,Match Finished,FT,90
1180372,20240417,71,2024,2,154,135,225.0,6,Match Finished,FT,90
1180366,20240417,71,2024,2,1062,140,21427.0,16,Match Finished,FT,90
1180368,20240418,71,2024,2,127,126,,2,Match Finished,FT,90
1180369,20240419,71,2024,2,120,144,218.0,12,Match Finished,FT,90
1180378,20240420,71,2024,3,124,133,,19,Match Finished,FT,90
