substituicao_id,partida_id,time_id,jogador_saiu_id,jogador_saiu_nome,jogador_entrou_id,jogador_entrou_nome,minuto,minuto_extra
1,1180355,119,354012,Lucca,70314,Wesley,46,
2,1180355,119,143368,Bruno Gomes,9921,Bruno Henrique,46,
3,1180355,119,22231,Thiago Maia,2044,G. Mercado,46,
4,1180355,118,63968,Ó. Estupiñán,25272,Cauly,46,
5,1180355,118,180236,Caio Alexandre,305817,Biel,64,
6,1180355,119,2083,Wanderson,982,L. Alario,76,
7,1180355,118,10492,Thaciano,10222,Everaldo,80,
8,1180355,118,10168,Éverton Ribeiro,2173,C. de Pena,80,
9,1180355,119,106485,Maurício,415051,Gustavo Prado,83,
10,1180364,152,10041,Gilberto,146018,Erick Farias,18,
11,1180364,140,12795,Éder,1432,Y. Bolasie,58,
12,1180364,152,9970,Nenê,278337,Marcelinho,61,
13,1180364,152,279811,Lucas Barbosa,266719,Rildo,72,
14,1180364,152,159653,Caíque,63984,Thiago Conti,73,
15,1180364,140,135136,Claudinho,13292,Y. Candelo,78,
16,1180364,140,10096,Marquinhos Gabriel,9849,Matheusinho,78,
17,1180364,140,80624,Fellipe Mateus,2424,M. Trauco,86,
18,1180364,140,9726,Renato Kayzer,10039,Arthur Caíke,86,
19,1180358,794,51464,I. Laquintana,10147,Vitinho,46,
20,1180358,794,403951,Gustavinho,197513,T. Borbas,46,
21,1180358,794,10281,Raul,10027,Eric Ramires,46,
22,1180358,794,9862,Cleiton,140450,Lucão,46,
23,1180358,124,9929,Felipe Melo,297522,John Kennedy,58,
24,1180358,124,10267,Samuel Xavier,865,Douglas Costa,58,
25,1180358,794,10481,Juninho Capixaba,195976,Guilherme,70,
26,1180358,124,10311,Ganso,306581,Felipe Andrade,80,
27,1180358,124,13523,G. Cano,414358,Kauã Elias,89,
28,1180361,154,10506,Marinho,153454,Moisés,58,
29,1180361,126,6379,G. Galoppo,517,J. Rodríguez,59,
30,1180361,154,10581,Yago Pikachu,6121,I. Machuca,59,
31,1180361,126,51701,M. Araújo,449243,William,65,
32,1180361,126,9949,Igor Vinícius,9549,Erick,65,
33,1180361,154,266267,Hércules,80330,Pedro Augusto,72,
34,1180361,154,9882,Zé Welison,1069,Lucas Sasha,72,
35,1180361,126,10501,Alisson,9954,Rodrigo Nestor,76,
36,1180361,126,10323,Luciano,41188,André Silva,76,
37,1180361,154,6326,J. Lucero,10413,Tinga,83,
38,1180360,131,2411,Fágner,10161,Matheus França,46,
39,1180360,1062,9967,Igor Gomes,9872,Igor Rabello,46,
40,1180360,1062,2477,M. Zaracho,16360,A. Franco,69,
41,1180360,131,6725,F. Vera,687,Maycon,72,
42,1180360,131,9992,Gustavo Henrique,12719,Paulinho,72,
43,1180360,131,5794,R. Garro,50268,Igor Coronado,76,
44,1180360,131,2521,Á. Romero,9329,Pedro Raúl,80,
45,1180360,1062,987,Paulinho,9926,Gustavo Scarpa,82,
46,1180360,1062,12705,Hulk,35534,E. Vargas,90,
47,1180359,130,2466,W. Kannemann,304867,Gustavo Martins,14,
48,1180359,130,54,Diego Costa,30562,João Pedro,46,
49,1180359,130,2454,Y. Soteldo,427736,Gustavo Nunes,58,
50,1180359,130,5981,C. Pavón,419936,Nathan Fernandes,58,
51,1180359,133,10578,Rossi,407806,Rayan,64,
52,1180359,133,1982,G. Medel,10225,João Victor,64,
53,1180359,133,6057,P. Galdames,454138,João Pedro,74,
54,1180359,130,353034,Cuiabano,411433,Zé Guilherme,74,
55,1180359,133,10105,David,306261,Adson,86,
56,1180359,133,133910,Paulo Henrique,2504,R. Rojas,87,
57,1180362,1193,10258,Clayson,350,Jonathan Cafú,62,
58,1180362,1193,80187,Fernando Sobral,306213,Max,62,
59,1180362,1193,145501,Derik Lacerda,10256,André Luís,62,
60,1180362,134,9661,Julimar,10067,Alex Santana,73,
61,1180362,134,9976,Pablo,16669,G. Mastriani,73,
62,1180362,134,6031,T. Cuello,152931,B. Zapelli,73,
63,1180362,1193,306213,Max,41183,Filipe Augusto,77,
64,1180362,1193,9934,Deyverson,70670,I. Pitta,77,
65,1180362,134,10130,Erick,140507,Felipinho,83,
66,1180362,134,51603,A. Canobbio,288230,Zé Vitor,83,
67,1180363,144,288763,A. Cruz,9986,Luiz Felipe,45,7.0
68,1180363,144,54699,Rhaldney,10328,Y. González,46,
69,1180363,127,2414,Everton,10180,Bruno Henrique,46,
70,1180363,144,196887,Adriano Martins,41147,Pedro Henrique,76,
71,1180363,127,51572,M. Viña,30408,Gerson,76,
72,1180363,127,10124,Léo Pereira,70297,Carlinhos,77,
73,1180363,127,22238,Luiz Araújo,352371,Victor Hugo,86,
74,1180363,144,354077,E. Rodríguez,157361,Derek,87,
75,1180363,144,10073,Luiz Fernando,454454,Max,87,
76,1180363,127,5995,N. de la Cruz,403300,Lorran,90,2.0
77,1180356,120,9218,Marlon Freitas,9958,Tchê Tchê,23,
78,1180356,120,652,Marçal,197317,Hugo,46,
79,1180356,120,238391,Jeffinho,51214,J. Savarino,59,
80,1180356,120,1845,Bastos,5933,A. Barboza,66,
81,1180356,135,10006,Arthur Gomes,6052,Á. Barreal,68,
82,1180356,135,10249,Ramiro,16776,J. Cifuentes,68,
83,1180356,135,13063,Rafa Silva,9896,Rafael Elias,68,
84,1180356,120,10031,Gregore,22167,Danilo Barbosa,74,
85,1180356,120,390,Tiquinho Soares,2515,Ó. Romero,74,
86,1180356,135,10102,Lucas Silva,10241,Mateus Vital,78,
87,1180356,135,25618,Matheus Pereira,180235,Gabriel Veron,82,
88,1180356,135,10100,L. Romero,54866,João Marcelo,90,8.0
